traditional	simplified	pinyin	translation_fr-FR
一路	一路	yi1 lu4	"tout le trajet__tout le chemin__suivre le même chemin__aller dans le même sens__du même genre"
一蹴即至	一蹴即至	yi1 cu4 ji2 zhi4	"(expr. idiom.) arriver (à destination) en un seul pas__atteindre son but d'un seul coup__succès immédiat"
一蹴可幾	一蹴可几	yi1 cu4 ke3 ji3	"(expr. idiom.) toucher au but du premier coup__succès immédiat"
一蹴而就	一蹴而就	yi1 cu4 er2 jiu4	"(expr. idiom.) toucher au but de manière immédiate__succès immédiat__obtenir un résultat du premier coup"
一蹶不振	一蹶不振	yi1 jue2 bu4 zhen4	"(expr. idiom.) être incapable de se relever après une chute__défaite irrémédiable"
一身	一身	yi1 shen1	"tout le corps__un habit__seul"
一輪	一轮	yi1 lun2	"premier tour__première étape"
一輩子	一辈子	yi1 bei4 zi5	"toute la vie"
一邊	一边	yi1 bian1	"un côté__en même temps que"
一邊倒	一边倒	yi1 bian1 dao3	"soutenir inconditionnellement"
一迅社	一迅社	yi1 xun4 she4	"Ichijinsha (société)"
一過性	一过性	yi1 guo4 xing4	"transitoire"
一連	一连	yi1 lian2	"de suite__à la file__sans interruption"
一連串	一连串	yi1 lian2 chuan4	"chaine de (évènements, erreurs, travail, problèmes, succès, etc.)__succession de (désastres)__série__rangée (de magasins)"
一遞一個	一递一个	yi1 di4 yi1 ge4	"l'un après l'autre"
一通	一通	yi1 tong4	"une fois"
一逞獸欲	一逞兽欲	yi1 cheng3 shou4 yu4	"céder à son désir animal"
一遍	一遍	yi1 bian4	"une fois"
一道	一道	yi1 dao4	"ensemble__avec__côte à côte__en compagnie de"
一部	一部	yi1 bu4	"une partie__la plupart"
一部分	一部分	yi1 bu4 fen5	"portion__partie de__sous-ensemble"
一部分	一部分	yi1 bu4 fen4	"une partie__la plupart"
一針見血	一针见血	yi1 zhen1 jian4 xie3	"(expr. idiom.) toucher un point sensible__aller droit au coeur du problème__entrer dans le vif de la question"
一錢如命	一钱如命	yi1 qian2 ru2 ming4	"avare__pingre"
一鍋粥	一锅粥	yi1 guo1 zhou1	"(lit.) casserole de porridge__(fig.) bazar complet"
一隊	一队	yi1 dui4	"élément de convoi__élément de marche__rame de véhicules"
一陣	一阵	yi1 zhen4	"bouffée__souffle"
一陣子	一阵子	yi1 zhen4 zi5	"court laps de temps__tandis que__accès de colère"
一面	一面	yi1 mian4	"un côté"
一面之詞	一面之词	yi1 mian4 zhi1 ci2	"un pan de l'histoire__déclaration unilatérale"
一面倒	一面倒	yi1 mian4 dao3	"unilatéral__déséquilibré__unanime__écrasante majorité"
一頁紙	一页纸	yi1 ye4 zhi3	"une page"
一項	一项	yi2 xiang4	"un élément__une chose"
一飽眼福	一飽眼福	yi1 bao3 yan3 fu2	"(expr. idiom.) s'en régaler les yeux"
一首詩	一首诗	yi1 shou3 shi1	"un poème__une poésie"
一馬平川	一马平川	yi1 ma3 ping2 chuan1	"(expr. idiom.) vaste étendue de terrains plats__plaine"
一鳴驚人	一鸣惊人	yi1 ming2 jing1 ren2	"(expr. idiom.) d'un cri étonner les gens__se faire soudain remarquer__s'illustrer soudainement__A l'entendre chanter une première fois, tout le monde s'en est étonné.__Son début a fait sensation."
一黑早	一黑早	yi1 hei1 zao3	"à l'aube__tôt le matin"
一齊	一齐	yi1 qi2	"ensemble__simultanément"
丁	丁	ding1	"quatrième des 10 troncs célestes__quatrième__robuste__adulte mâle__aiguillon__clou__aliments en petits dés__car. cycl.__(nom de famille)"
丁丁	丁丁	ding1 ding1	"Tintin"
丁丑	丁丑	ding1 chou3	"Dingchou__buffle de feu (quatorzième année D2 du cycle de 60 ans)"
丁亥	丁亥	ding1 hai4	"Dinghai__cochon de feu (vingt-quatrième année D12 du cycle de 60 ans)"
丁俊暉	丁俊晖	ding1 jun4 hui1	"Ding Junhui (joueur de billard)"
丁卯	丁卯	ding1 mao3	"Dingmao__lièvre de feu (quatrième année D4 du cycle de 60 ans)"
丁卯戰爭	丁卯战争	Ding1 mao3 Zhan4 zheng1	"Première invasion mandchoue de la Corée"
丁卯胡亂	丁卯胡乱	Ding1 mao3 Hu2 luan4	"Première invasion mandchoue de la Corée"
丁字路口	丁字路口	ding1 zi4 lu4 kou3	"carrefour routier en T"
丁憂	丁忧	ding1 you1	"(lit.) être en deuil après la mort de ses parents"
丁日	丁日	ding1 ri4	"pénis__(pseudonyme de Justin Bieber)"
丁香	丁香	ding1 xiang1	"giroflier__girofle__clou de girofle"
丁香屬	丁香属	ding1 xiang1 shu3	"Syringa (lilas)"
七	七	qi1	"sept__7"
七個	七个	qi1 ge4	"sept unités"
七人之侍	七人之侍	qi1 ren2 zhi1 shi4	"Les Sept Samouraïs (film)"
七分	七分	qi1 fen1	"beaucoup"
七劍	七剑	qi1 jian4	"Seven Swords (film)"
七十	七十	qi1 shi2	"soixante-dix__70"
七十二	七十二	qi1 shi2 er4	"toutes sortes d'occupations"
七十年代	七十年代	qi1 shi2 nian2 dai4	"années 70"
七千	七千	qi1 qian1	"sept mille__7000"
七千二百十六	七千二百十六	qi1 qian1 er4 bai3 shi2 liu4	"7216__sept mille deux cent seize"
七台河	七台河	Qi1 tai2 he2	"Qitaihe (Heilongjiang)"
七台河市	七台河市	Qi1 tai2 he2 shi4	"Qitaihe (Heilongjiang)"
七哩橋	七哩桥	qi1 li3 qiao2	"Seven Mile Bridge (Floride)"
七喜	七喜	Qi1 xi3	"7 Up"
七嘴八舌	七嘴八舌	qi1 zui3 ba1 she2	"parler tous en même temps"
七夕	七夕	Qi1 xi1	"Tanabata__Qi Qiao Jie"
七夕節	七夕节	Qi1 xi1 jie2	"Qixi__festival du double-sept__Saint-Valentin chinoise__festival des filles"
七大	七大	qi1 da4	"septième congrès national (du PCC)"
七大姑八大姨	七大姑八大姨	qi1 da4 gu1 ba1 da4 yi2	"parents éloignés"
七年級	七年级	qi1 nian2 ji2	"classe de 5e"
七彩	七彩	qi1 cai3	"sept couleurs__variété de couleurs__multicolore__aux couleurs de l'arc-en-ciel"
七成	七成	qi1 cheng2	"soixante-dix pourcent"
七日之癢	七日之癢	qi1 ri4 zhi1 yang3	"Les Femmes de ses rêves (film)"
七旬老人	七旬老人	qi1 xun2 lao3 ren2	"septuagénaire"
七星瓢蟲	七星瓢虫	qi1 xing1 piao2 chong2	"Coccinella septempunctata__coccinelle à sept points"
七月	七月	Qi1 yue4	"juillet__septième mois lunaire"
七氟丙烷	七氟丙烷	qi1 fu2 bing3 wan2	"FM-200 (gaz)"
七點	七点	qi1 dian3	"sept heures"
七百	七百	qi1 bai3	"sept-cents__700"
七顛八倒	七颠八倒	qi1 dian1 ba1 dao3	"(expr. idiom.) n'avoir ni queue ni tête__faire les choses de façon décousue__situation devenue anormale"
七龍珠	七龙珠	Qi1 long2 zhu1	"Dragon Ball (manga)"
丆	丆	xx5	"(un des caractères utilisés en kwukyel (phonétique myeon), un ancien système d'écriture coréen)"
丆	丆	xx5	"(un des caractères utilisés en kwukyel (phonétique myeon), un ancien système d'écriture coréen)"
萬	万	wan4	"dix mille__absolument__un grand nombre de__(nom de famille)"
萬一	万一	wan4 yi1	"si jamais__au cas où__éventuellement"
萬萬	万万	wan4 wan4	"cent millions__au plus haut degré__absolument pas__ne... jamais"
萬丈	万丈	wan4 zhang4	"insondable__sans fond"
萬世	万世	wan4 shi4	"éternité"
萬世師表	万世师表	wan4 shi4 shi1 biao3	"(expr. idiom.) modèle éternel__celui à qui se référer en tout temps__se réfère à Confucius"
萬事	万事	wan4 shi4	"toute chose"
萬事如意	万事如意	wan4 shi4 ru2 yi4	"(expr. idiom.) Que les mille affaires des hommes soient conformes à leurs désirs__beaucoup de bonnes choses__que tout vous réussisse"
萬事起開頭難	万事起开头难	wan4 shi4 qi3 kai1 tou2 nan2	"(expr. idiom.) tout est difficile au début__il n'y a que le premier pas qui coûte"
萬事通	万事通	wan4 shi4 tong1	"homme à tout faire__monsieur je sais tout"
萬人	万人	wan4 ren2	"dix mille personnes__tout le peuple__chaque homme"
萬人迷	万人迷	wan4 ren2 mi2	"princesse ou prince charmant (dont rêvent les célibataires)"
万億瓦小時	万亿瓦小时	wan4 yi4 wa3 xiao3 shi2	"térawattheure"
萬代	万代	Wan4 dai4	"Bandai (société)"
萬代蘭	万代兰	Wan4 dai4 lan2	"Vanda (plante)"
萬眾	万众	wan4 zhong4	"des millions de personnes__multitude"
萬兒八千	万儿八千	wan4 r ba1 qian1	"dix mille ou presque dix mille"
萬全	万全	wan4 quan2	"absolument sûr__en toute sûreté__infaillible__minutieux"
萬分	万分	wan4 fen1	"extrêmement__absolument"
萬劫不復	万劫不复	wan4 jie2 bu4 fu4	"expédié à la damnation éternelle__sans espoir de sursis"
萬千	万千	wan4 qian1	"d'une grande variété__des myriades__innombrables"
萬葉集	万叶集	wan4 ye4 ji2	"Man'yoshu"
萬國音標	万国音标	Wan4 guo2 Yin1 biao1	"alphabet phonétique international__API"
萬聖節	万圣节	Wan4 sheng4 jie2	"Halloween"
萬頭鑽動	万头钻动	wan4 tou2 zuan1 dong4	"grouillement de la foule"
萬歲	万岁	wan4 sui4	"longue vie"
萬年	万年	Wan4 nian2	"(xian de) Wannian"
萬年曆	万年历	wan4 nian2 li4	"calendrier perpétuel__calendrier de dix mille ans"
萬應靈丹	万应灵丹	wan4 ying4 ling2 dan1	"panacée"
萬惡	万恶	wan4 e4	"tout ce qui est mal"
萬戶	万户	wan4 hu4	"dix mille maisons ou ménages"
萬托林	万托林	wan4 tuo1 lin2	"ventolin__salbutamol"
萬無一失	万无一失	wan4 wu2 yi1 shi1	"(expr. idiom.) sans faute__en toute sécurité__absolument sûr__certain__être infaillible__rien n'est laissé au hasard__toutes les précautions sont prises"
萬智牌	万智牌	wan4 zhi4 pai2	"Magic : l'assemblée (jeu de cartes)"
萬有引力定律	万有引力定律	wan4 you3 yin3 li4 ding4 lu:4	"loi universelle de la gravitation"
萬物	万物	wan4 wu4	"tous les êtres vivants"
萬物必將消逝	万物必将消逝	wan4 wu4 bi4 jiang1 xiao1 shi4	"All Things Must Pass (George Harrison)"
萬用	万用	wan4 yong4	"universel"
萬用表	万用表	wan4 yong4 biao3	"multimètre"
萬目睽睽	万目睽睽	wan4 mu4 kui2 kui2	"(expr. idiom.) des milliers d'yeux écarquillés"
萬科	万科	Wan4 ke1	"Vanke (société)"
萬箭穿心	万箭穿心	wan4 jian4 chuan1 xin1	"(expr. idiom.) avoir le coeur transpercé par des milliers de flèches__surmonter avec douleur__déchirer qqn en lambeaux"
萬能	万能	wan4 neng2	"tout-puissant__universel"
萬般	万般	wan4 ban1	"extrêmement__absolument__toutes sortes de"
萬艦齊發	万舰齐发	wan4 jian4 qi2 fa1	"Homeworld (jeu vidéo)"
萬象	万象	wan4 xiang4	"toutes les apparences__tous les phénomènes__toutes choses"
萬象更新	万象更新	wan4 xiang4 geng1 xin1	"(expr. idiom.) (au printemps) la nature revêt un nouvel apparat"
萬貫	万贯	wan4 guan4	"dix mille cordes d'argent__en très bonne santé__millionnaire"
萬達	万达	wan4 da2	"Wanda (société)"
萬那杜	万那杜	Wan4 na4 du4	"Vanuatu"
萬里	万里	wan4 li3	"Wan Li"
萬里長城	万里长城	Wan4 li3 Chang2 cheng2	"Grande Muraille__mur de dix mille Li"
萬鴉老	万鸦老	wan4 ya1 lao3	"Manado (Indonésie)"
丈	丈	zhang4	"(unité de longueur ~3m)__mesurer"
丈人	丈人	zhang4 ren2	"père de l'épouse__beau-père__vieillard"
丈夫	丈夫	zhang4 fu5	"mari__époux"
丈母娘	丈母娘	zhang4 mu3 niang2	"belle-mère__mère de la femme"
三	三	san1	"trois__3"
三一學院	三一学院	san1 yi1 xue2 yuan4	"Trinity College (Cambridge)"
三一運動	三一运动	san1 yi1 yun4 dong4	"Samiljeol__Mouvement du 1er mars (Corée)"
三七	三七	san1 qi1	"Panax"
三七仔	三七仔	san1 qi1 zi3	"(argot) mac"
三萬	三万	san1 wan4	"30 000__trente milles"
三三兩兩	三三两两	san1 san1 liang3 liang3	"par deux ou trois__en petits groupes"
三下兩下	三下两下	san1 xia4 liang3 xia4	"(expr. idiom.) rapidement et sans effort"
三不	三不	san1 bu4	"Les trois non (slogan abrégé)"
三不沾	三不沾	san1 bu4 zhan1	"air ball (basketball)"
三世	三世	san1 shi4	"le Troisième (pour les rois)"
三兩	三两	san1 liang3	"deux ou trois"
三個代表	三个代表	San1 ge4 Dai4 biao3	"Trois représentations"
三個月	三个月	san1 ge4 yue4	"trois mois__trimestre"
三中全會	三中全会	San1 Zhong1 Quan2 hui4	"Troisième Plénum du Parti communiste chinois,"
三五	三五	san1 wu3	"nombreux__trois ou cinq"
三亞	三亚	San1 ya4	"Sanya"
三人	三人	san1 ren2	"troïka"
三人成虎	三人成虎	san1 ren2 cheng2 hu3	"(expr. idiom.) trois personnes fabriquent un tigre__une rumeur répétée devient un fait"
三人行	三人行	san1 ren2 xing2	"Three's Company (film)"
三代	三代	san1 dai4	"troisième génération"
三位一體	三位一体	San1 wei4 Yi1 ti3	"trinité chrétienne"
三位數	三位数	san1 wei4 shu4	"nombre Ã  trois chiffres"
三彿齊	三佛齐	san1 fu2 qi2	"Sriwijaya (Indonésie)"
三俗	三俗	san1 su2	"les trois vulgarités (immoralité, bassesse et kitsch)__vulgarité dans les médias__tendance vulgaire"
三倍	三倍	san1 bei4	"trois fois (plus)__triple"
三倍角	三倍角	san1 bei4 jiao3	"angle triple"
三八	三八	san1 ba1	"Journée internationale des femmes (8 mars)__commère__peau de vache__salope"
三八節	三八节	San1 ba1 jie2	"Journée internationale de la femme (8 mars)"
三公	三公	san1 gong1	"Trois Excellences"
三軍	三军	san1 jun1	"grande armée__armée de terre, marine et armée de l'air"
三農	三农	san1 nong2	"les trois questions rurales (l'agriculture, les zones rurales et les paysans)"
三分	三分	san1 fen1	"un peu__dans une certaine mesure"
三分之一	三分之一	san1 fen1 zhi1 yi1	"un tiers__1__3"
三分之二	三分之二	san1 fen1 zhi1 er4	"deux tiers"
三分頭	三分头	san1 fen1 tou2	"coupe de cheveux pour hommes standard"
三分球	三分球	san1 fen1 qiu2	"panier à trois points"
三分角	三分角	san1 fen1 jiao3	"angle tiers"
三劍客	三剑客	san1 jian4 ke4	"Les Trois Mousquetaires"
三包	三包	san1 bao1	"service de trois garanties (réparation, échange et remboursement)"
三十六	三十六	san1 shi2 liu4	"trente-six"
三十歲	三十岁	san1 shi2 sui4	"trente ans"
三十年	三十年	san1 shi2 nian2	"trente ans"
三千	三千	san1 qian1	"trois mille__3000"
三千七百七十	三千七百七十	san1 qian1 qi1 bai3 qi1 shi2	"trois mille sept cent soixante-dix__3770"
三千二百二十八	三千二百二十八	san1 qian1 er4 bai3 er4 shi2 ba1	"trois mille deux cent vingt huit__3228"
三原	三原	San1 yuan2	"(Xian de) Sanyuan (Shaanxi)"
三原縣	三原县	San1 yuan2 Xian4	"Xian de Sanyuan (Shaanxi)"
三廂	三厢	san1 xiang1	"berline"
三雙	三双	san1 shuang1	"triple-double (basket-ball)"
三隻眼	三只眼	san1 zhi1 yan3	"3×3 Eyes (manga)"
三合一	三合一	san1 he2 yi1	"trois en un__triple"
三名法	三名法	san1 ming2 fa3	"nom trinominal (biologie)"
三味線	三味线	san1 wei4 xian4	"shamisen (instrument de musique)"
三唑侖	三唑仑	san1 zuo4 lun2	"triazolam"
三圍	三围	san1 wei2	"mensurations"
三國	三国	San1 guo2	"Trois Royaumes de Chine"
三國志	三国志	San1 guo2 zhi4	"Chroniques des Trois Royaumes"
三國戰紀	三国战纪	san1 guo2 zhan4 ji4	"Knights of Valour (jeux vidéo)"
三聲夜鷹	三声夜鹰	san1 sheng1 ye4 ying1	"engoulevent bois-pourri (oiseau)"
三天	三天	san1 tian1	"trois jours__3 jours"
三天兩頭	三天两头	san1 tian1 liang3 tou2	"(expr. idiom) trois jours de bout en bout__pratiquement tous les jours__fréquemment"
三寶太監	三宝太监	San1 bao3 tai4 jian4	"Grand Eunuque aux trois joyaux (titre bouddhique attribué à Zheng He)"
三寶瓏	三宝珑	san1 bao3 long2	"Semarang (Indonésie)"
三寶磨	三宝磨	san1 bao3 mo4	"Sampo (mythologie finnoise)"
三寸不爛之舌	三寸不烂之舌	san1 cun4 bu4 lan4 zhi1 she2	"avoir la langue bien pendue"
三層刺网	三层刺网	san1 ceng2 ci4 wang3	"tramail (filet de pêche)"
三山城	三山城	san1 shan1 cheng2	"Triokhgorny (Russie)"
三歲	三岁	san1 sui4	"âgé de trois ans"
三歲看到老	三岁看到老	san3 sui4 kan4 dao4 lao3	"(expr. idiom.) la valeur n'attend pas le nombre des années"
三峽	三峡	San1 xia2	"Trois Gorges"
三峽工程	三峡工程	san1 xia2 gong1 cheng2	"Barrage des Trois-Gorges"
三峽鎮	三峡镇	San1 xia2 zhen4	"Sanhsia (Taïwan)"
三年	三年	san1 nian2	"trois ans__3 ans"
三度	三度	san1 du4	"tierce (intervalle musical)"
三得利	三得利	San1 de2 li4	"Suntory (société)"
三思後行	三思后行	san1 si1 hou4 xing2	"(expr. idiom.) réfléchir trois fois avant d'agir"
三思而行	三思而行	san1 si1 er2 xing2	"(expr. idiom.) bien réfléchir avant d'agir"
三振	三振	san1 zhen4	"Retrait sur des prises (baseball)"
三描禮士山脈	三描礼士山脉	san1 miao2 li3 shi4 shan1 mo4	"Monts Zambales (Philippines)"
三數法則	三数法则	san1 shu4 fa3 ze2	"réduire au même dénominateur"
三斤王	三斤王	san1 jin1 wang2	"Samgeun (ancien roi de Corée)"
三方晶繫	三方晶系	san1 fang1 jing1 xi4	"système cristallin trigonal"
三明	三明	San1 ming2	"Sanming (Fujian)"
三明市	三明市	San1 ming2 shi4	"Sanming (Fujian)"
三星	三星	san1 xing1	"Samsung"
三星電子	三星电子	san1 xing1 dian4 zi3	"Samsung Electronics"
三昧	三昧	san1 mei4	"Samadhi"
三更	三更	san1 geng1	"tard dans la nuit__au plus profond de la nuit"
三曹	三曹	San1 Cao2	"Trois Cao (Cao Cao et ses fils)"
三月	三月	San1 yue4	"mars__troisième mois lunaire"
三月份	三月份	san1 yue4 fen4	"mars"
三月花葵	三月花葵	san1 yue4 hua1 kui2	"Lavatera trimestris__lavatère annuelle__mauve (botanique)"
三殺	三杀	san1 sha1	"triple jeu (baseball)"
三權鼎立	三权鼎立	san1 quan2 ding3 li4	"séparation des pouvoirs"
三條	三条	san1 tiao2	"Sanjo (nom japonais)"
三極管	三极管	san1 ji2 guan3	"lampe triode"
三枝九葉草	三枝九叶草	san1 zhi1 jiu3 ye4 cao3	"Epimedium sagittatum (plante)"
三棱柱體	三棱柱体	san1 leng2 zhu4 ti3	"prisme Ã  base triangulaire"
三棱錐體	三棱锥体	san1 leng2 zhui1 ti3	"puissance (d'inversion)(géométrie)"
三樓	三楼	san1 lou2	"troisième étage"
三次	三次	san1 ci4	"trois fois"
三次元	三次元	san1 ci4 yuan2	"tridimensionnel__le vrai monde"
三段論	三段论	san1 duan4 lun4	"syllogisme"
三毛	三毛	san1 mao2	"Sanmao"
三氟氯甲烷	三氟氯甲烷	san1 fu2 lu:4 jia3 wan2	"chlorotrifluorométhane (CClF3)__monochlorotrifluorométhane__trifluorochlorométhane"
三氧化二鉻	三氧化二铬	san1 yang3 hua4 er4 ge4	"oxyde de chrome (III)"
三氧化鉻	三氧化铬	san1 yang3 hua4 ge4	"trioxyde de chrome"
三氯氰胺	三氯氰胺	san1 lu:4 qing2 an4	"mélamine C3H6N6"
三河縣	三河县	San1 he2 xian4	"(Xian de) Sanhe (Hebei)"
三洋	三洋	San1 yang2	"Sanyo (société)"
三洋電機	三洋电机	san1 yang2 dian4 ji1	"Sanyo (société)"
三流	三流	san1 liu2	"de troisième ordre__inférieur"
三浦	三浦	San1 pu3	"Miura (nom japonais)"
三點	三点	san1 dian3	"trois points__(fig.) nu (faisant référence aux tétons et à l'appareil génital)"
三點全露	三点全露	san1 dian3 quan2 lou4	"(argot) nu__complétement nu"
三率法	三率法	san1 lu:4 fa3	"règle de trois (math.)"
三瓦兩舍	三瓦两舍	san1 wa3 liang3 she4	"lieux de plaisir (bordels, maisons de thé, KTV, etc.)"
三番兩次	三番两次	san1 fan1 liang3 ci4	"(expr. idiom.) à plusieurs reprises__répétitivement"
三百	三百	san1 bai3	"trois-cents__300"
三相	三相	san1 xiang4	"triphasé"
三眼神童	三眼神童	san1 yan3 shen2 tong2	"L'Enfant aux trois yeux (manga)"
